moe_itl_fund_code,cal_year,rate,start_date,end_date
IT,1954,142.09,1/01/1954,31/12/1954
IT,1955,145.64,1/01/1955,31/12/1955
IT,1956,152.35,1/01/1956,31/12/1956
IT,1957,155.11,1/01/1957,31/12/1957
IT,1958,165.13,1/01/1958,31/12/1958
IT,1959,167.02,1/01/1959,31/12/1959
IT,1960,169.63,1/01/1960,31/12/1960
IT,1961,173.26,1/01/1961,31/12/1961
IT,1962,176.90,1/01/1962,31/12/1962
IT,1963,180.82,1/01/1963,31/12/1963
IT,1964,188.95,1/01/1964,31/12/1964
IT,1965,193.45,1/01/1965,31/12/1965
IT,1966,198.01,1/01/1966,31/12/1966
IT,1967,211.01,1/01/1967,31/12/1967
IT,1968,221.71,1/01/1968,31/12/1968
IT,1969,230.50,1/01/1969,31/12/1969
IT,1970,253.44,1/01/1970,31/12/1970
IT,1971,276.56,1/01/1971,31/12/1971
IT,1972,291.66,1/01/1972,31/12/1972
IT,1973,321.29,1/01/1973,31/12/1973
IT,1974,361.61,1/01/1974,31/12/1974
IT,1975,418.39,1/01/1975,31/12/1975
IT,1976,483.84,1/01/1976,31/12/1976
IT,1977,557.97,1/01/1977,31/12/1977
IT,1978,614.33,1/01/1978,31/12/1978
IT,1979,715.88,1/01/1979,31/12/1979
IT,1980,831.38,1/01/1980,31/12/1980
IT,1981,961.90,1/01/1981,31/12/1981
IT,1982,1109.06,1/01/1982,31/12/1982
IT,1983,1148.96,1/01/1983,31/12/1983
IT,1984,1256.96,1/01/1984,31/12/1984
IT,1985,1448.84,1/01/1985,31/12/1985
IT,1986,1713.10,1/01/1986,31/12/1986
IT,1987,1877.40,1/01/1987,31/12/1987
IT,1988,1965.87,1/01/1988,31/12/1988
IT,1989,2107.42,1/01/1989,31/12/1989
IT,1990,2209.64,1/01/1990,31/12/1990
IT,1991,2231.27,1/01/1991,31/12/1991
IT,1992,2260.76,1/01/1992,31/12/1992
IT,1993,2292.21,1/01/1993,31/12/1993
IT,1994,2356.39,1/01/1994,31/12/1994
IT,1995,2425.16,1/01/1995,31/12/1995
IT,1996,2487.05,1/01/1996,31/12/1996
IT,1997,2507.68,1/01/1997,31/12/1997
IT,1998,2516.85,1/01/1998,31/12/1998
IT,1999,2529.64,1/01/1999,31/12/1999
IT,2000,2630.22,1/01/2000,31/12/2000
IT,2001,2678.00,1/01/2001,31/12/2001
IT,2002,2678.00,1/01/2002,31/12/2002
IT,2003,2678.00,1/01/2003,31/12/2003
IT,2004,2678.00,1/01/2004,31/12/2004
IT,2005,2678.00,1/01/2005,31/12/2005
IT,2006,2678.00,1/01/2006,31/12/2006
IT,2007,2774.00,1/01/2007,31/12/2007
IT,2008,2845.00,1/01/2008,31/12/2008
IT,2009,2919.00,1/01/2009,31/12/2009
IT,2010,2919.00,1/01/2010,31/12/2010
IT,2011,2919.00,1/01/2011,31/12/2011
IT,2012,2919.00,1/01/2012,31/12/2012
IT,2013,2919.00,1/01/2013,31/12/2013
IT,2014,3200.00,1/01/2014,31/12/2014
IT,2015,3200.00,1/01/2015,31/12/2015
IT,2016,3200.00,1/01/2016,31/12/2016
IT,2017,3200.00,1/01/2017,31/12/2017
MA,1998,2516.85,1/01/1998,31/12/1998
MA,1999,2529.64,1/01/1999,31/12/1999
MA,2000,2630.22,1/01/2000,31/12/2000
MA,2001,2678.00,1/01/2001,31/12/2001
MA,2002,2678.00,1/01/2002,31/12/2002
MA,2003,2678.00,1/01/2003,31/12/2003
MA,2004,2678.00,1/01/2004,31/12/2004
MA,2005,2678.00,1/01/2005,31/12/2005
MA,2006,2678.00,1/01/2006,31/12/2006
MA,2007,2774.00,1/01/2007,31/12/2007
MA,2008,2845.00,1/01/2008,31/12/2008
MA,2009,2919.00,1/01/2009,31/12/2009
MA,2010,2919.00,1/01/2010,31/12/2010
MA,2011,2919.00,1/01/2011,31/12/2011
MA,2012,2919.00,1/01/2012,31/12/2012
MA,2013,2919.00,1/01/2013,31/12/2013
MA,2014,5200.00,1/01/2014,31/12/2014
MA,2015,5200.00,1/01/2015,31/12/2015
MA,2016,5200.00,1/01/2016,31/12/2016
MA,2017,5200.00,1/01/2017,31/12/2017
NZA,2014,5200.00,1/01/2014,31/12/2014
NZA,2015,5200.00,1/01/2015,31/12/2015
NZA,2016,5200.00,1/01/2016,31/12/2016
NZA,2017,5200.00,1/01/2017,31/12/2017
