Year,cost_type,Subsector,Ter_fund_rates
1999,Imputed,Universities,7531.21416
2000,Imputed,Universities,7689.542375
2001,Imputed,Universities,7990.724127
2002,Imputed,Universities,8205.649982
2003,Imputed,Universities,8500.306891
2004,Imputed,Universities,8685.97794
2005,Actual,Universities,8612.505882
2006,Actual,Universities,8876.867878
2007,Actual,Universities,9396.362007
2008,Actual,Universities,9443.345838
2009,Actual,Universities,9164.094149
2010,Actual,Universities,9040.479788
2011,Actual,Universities,9594.289127
2012,Actual,Universities,9680.611137
2013,Actual,Universities,9871.39899
2014,Actual,Universities,9919.279866
2015,Actual,Universities,10265
1999,Imputed,Polytechnics,7105.082279
2000,Imputed,Polytechnics,7213.007199
2001,Imputed,Polytechnics,7457.181484
2002,Imputed,Polytechnics,7622.478103
2003,Imputed,Polytechnics,7863.261746
2004,Imputed,Polytechnics,8004.536856
2005,Actual,Polytechnics,7883.176848
2006,Actual,Polytechnics,8240.571243
2007,Actual,Polytechnics,8351.224753
2008,Actual,Polytechnics,8574.151376
2009,Actual,Polytechnics,8370.430502
2010,Actual,Polytechnics,8445.944614
2011,Actual,Polytechnics,8686.224168
2012,Actual,Polytechnics,8568.262753
2013,Actual,Polytechnics,8491.848485
2014,Actual,Polytechnics,8511
2015,Actual,Polytechnics,8608.808013
1999,Imputed,Wananga,6025.271672
2000,Imputed,Wananga,6047.281445
2001,Imputed,Wananga,6187.314059
2002,Imputed,Wananga,6264.645856
2003,Imputed,Wananga,6406.440731
2004,Imputed,Wananga,6469.402925
2005,Actual,Wananga,6556.107301
2006,Actual,Wananga,6535.047394
2007,Actual,Wananga,6514.107171
2008,Actual,Wananga,6580.530735
2009,Actual,Wananga,6551.621252
2010,Actual,Wananga,6473.264675
2011,Actual,Wananga,6788.286112
2012,Actual,Wananga,6721.554581
2013,Actual,Wananga,6549.242424
2014,Actual,Wananga,6538
2015,Actual,Wananga,6536.539232
1999,Imputed,Private Training Establishments,6053.518374
2000,Imputed,Private Training Establishments,5994.323922
2001,Imputed,Private Training Establishments,6056.606717
2002,Imputed,Private Training Establishments,6060.794787
2003,Imputed,Private Training Establishments,6130.272576
2004,Imputed,Private Training Establishments,6127.04309
2005,Actual,Private Training Establishments,6244.134406
2006,Actual,Private Training Establishments,6286.29445
2007,Actual,Private Training Establishments,6044.967874
2008,Actual,Private Training Establishments,5863.001149
2009,Actual,Private Training Establishments,5614.182712
2010,Actual,Private Training Establishments,5654.071606
2011,Actual,Private Training Establishments,6035.345197
2012,Actual,Private Training Establishments,6318.836579
2013,Actual,Private Training Establishments,6618.765152
2014,Actual,Private Training Establishments,7000
2015,Actual,Private Training Establishments,7087.079299
